,Stations,LAT,LON,ShinjukuMade,ShinjukuDist,TokyoMade,TokyoDist,ShibuyaMade,ShibuyaDist,IkebukuroMade,IkebukuroDist,UenoMade,UenoDist,ShinagawaMade,ShinagawaDist,Lat_Lon
138,新高円寺駅,35.697845,139.64847,15.083333333333336,4.8 km,27.966666666666665,15.8 km,22.73333333333333,10.4 km,26.73333333333333,10.4 km,42.9,13.1 km,33.93333333333333,21.2 km,"35.697845, 139.64847"
139,後楽園駅,35.708484999999996,139.75182,23.53333333333333,6.2 km,15.883333333333333,3.8 km,25.86666666666667,12.6 km,20.066666666666666,5.6 km,9.716666666666667,2.5 km,27.25,12.5 km,"35.708485, 139.75182"
140,桜新町駅,35.631873999999996,139.64502,27.88333333333333,10.6 km,24.466666666666665,16.7 km,16.783333333333335,6.3 km,34.6,15.5 km,29.28333333333333,20.4 km,39.28333333333333,12.1 km,"35.631874, 139.64502"
141,早稲田駅,35.705837,139.72098,15.083333333333336,3.8 km,23.33333333333333,6.8 km,23.9,6.9 km,14.866666666666667,4.0 km,21.216666666666665,6.1 km,32.6,13.2 km,"35.705837, 139.72098"
142,明大前駅,35.66835,139.65056,13.483333333333333,6.9 km,24.216666666666665,15.1 km,23.36666666666667,6.5 km,22.1,12.6 km,27.65,20.8 km,30.18333333333333,20.5 km,"35.66835, 139.65056"
143,一之江駅,35.685936,139.88298,40.25,21.5 km,20.683333333333334,13.9 km,33.416666666666664,23.2 km,34.083333333333336,24.4 km,30.18333333333333,13.4 km,30.35,20.4 km,"35.685936, 139.88298"
144,千歳烏山駅,35.668182,139.60101,24.35,10.0 km,31.91666666666667,19.3 km,33.583333333333336,12.4 km,32.416666666666664,15.7 km,35.333333333333336,24.7 km,37.86666666666667,24.4 km,"35.668182, 139.60101"
145,東日本橋駅,35.69215399999999,139.78485,29.98333333333333,8.7 km,10.033333333333333,2.6 km,23.23333333333333,12.0 km,29.86666666666667,12.0 km,9.316666666666666,3.9 km,20.166666666666668,9.3 km,"35.69215399999999, 139.78485"
146,牛込柳町駅,35.699604,139.72571000000002,13.133333333333333,3.0 km,20.633333333333333,5.5 km,22.53333333333333,6.3 km,17.633333333333333,5.0 km,20.2,5.3 km,30.68333333333333,12.8 km,"35.699604, 139.72571000000002"
147,池上駅,35.572094,139.70297,34.8,15.2 km,26.91666666666667,16.6 km,31.966666666666665,10.3 km,43.18333333333333,26.0 km,31.73333333333333,20.3 km,31.73333333333333,10.4 km,"35.572094, 139.70297"
148,落合駅,35.710625,139.68613,10.983333333333333,2.9 km,26.13333333333333,12.7 km,24.8,7.8 km,12.8,3.8 km,30.466666666666665,9.4 km,32.48333333333333,18.3 km,"35.710625, 139.68613"
149,白山駅,35.72147800000001,139.75241,29.45,8.2 km,19.65,5.5 km,30.95,13.9 km,22.43333333333333,5.8 km,12.45,3.1 km,30.6,13.7 km,"35.72147800000001, 139.75241"
150,見沼代親水公園駅,35.814556,139.77074,32.6,23.7 km,30.716666666666665,26.4 km,35.1,27.1 km,24.516666666666666,18.6 km,34.03333333333333,12.4 km,39.18333333333333,32.9 km,"35.814556, 139.77074"
151,椎名町駅,35.72647,139.69492,14.1,6.4 km,22.58333333333333,13.1 km,18.133333333333333,10.1 km,6.95,1.7 km,27.33333333333333,11.7 km,31.98333333333333,20.1 km,"35.72647, 139.69492"
152,多摩川駅,35.58949699999999,139.66878,36.55,16.1 km,29.73333333333333,17.7 km,31.53333333333333,12.4 km,45.33333333333334,26.8 km,34.55,21.4 km,34.53333333333333,10.5 km,"35.58949699999999, 139.66878"
153,京成金町駅,35.768612,139.8704,42.86666666666667,27.8 km,30.65,17.8 km,40.96666666666667,28.1 km,38.8,21.0 km,33.06666666666667,12.3 km,40.31666666666667,24.3 km,"35.768612, 139.8704"
